Address,Tinh,Huyen,Xa,ThoiGian
"Tổ 03 Hòa Thọ Đông, Cẩm Lệ. Đà Nẵng.","Đà Nẵng","Cẩm Lệ","Hòa Thọ Đông","0.017002"
"Phường Yên Thanh, thành phố Uông Bí, tỉnh Quảng Ninh.","Quảng Ninh","Uông Bí","Yên Thanh","0.01691"
"XAn Thủy Huyện Lệe Thủy TQuảng Bình","Quảng Bình","Lệ Thủy","An Thủy","0.015606"
"Xan Tiến, H. An Lão, ","","An Lão","An Tiến","0.025005"
"31B Sư Vạn Hạnh, Phường 3 Quận 10, TP. Hồ Chí Minh","Hồ Chí Minh","10","","0.017997"
" Tam Amnh NZm  Núi Thành TQuảng Nam","Quảng Nam","Núi Thành","Tam Anh Nam","0.015991"
" Tam GiangNăm CănT.Cà Mau","Cà Mau","Năm Căn","Tam Giang","0.017117"
"Khu vực 1 TT Đức Hòa, Đức Hòa, Long An","Long An","Đức Hòa","Đức Hòa","0.016088"
",Lệ Thủy,T quảng BìnKh","Quảng Ninh","","Cẩm Thủy","0.0151"
"Tổ 8, Ấp An Bình Minh Hòa, Châu Thành, Kiên Giang","Kiên Giang","Châu Thành","Minh Hòa","0.015915"
"Thôn Xuân Lũng Bình Trung, Cao Lộc, Lạng Sơn","Lạng Sơn","Cao Lộc","Bình Trung","0.014996"
"  Đông Giang T Quảyg Nm","Quảng Nam","Đông Giang","","0.016"
"Hoằng Anh Thành phố Thanh Hóa, Thanh Hóa","Thanh Hóa","Thanh Hóa","Long Anh","0.015999"
"XHuy Hạ,  phù Yêu, T.Sơn La","Sơn La","Phù Yên","Huy Hạ","0.014003"
"Tổ 1, Phú trung P.An Lộc, TX.Bình Long, Bình Phước","Bình Phước","Bình Long","An Lộc","0.016954"
"Xã Nguyên Bình Huyện Tĩnh Gia, Thanh Hoá","Thanh Hóa","","Vĩnh Yên","0.021075"
"Xã Thanh Hòa, Huyện Cai Lậy, Tỉnh Tiền Giang","Tiền Giang","Cai Lậy","Thanh Hòa","0.015996"
"Thôn 3 Sơn Hải, Quỳnh Lưu, Nghệ An","Nghệ An","Quỳnh Lưu","Sơn Hải","0.016001"
"Khang Thọ Hưng Hoằng Đức, Hoằng Hóa, Thanh Hóa","Thanh Hóa","Hoằng Hóa","Hoằng Đức","0.019016"
"X. Sơn Hv HSơn Hoa Tỉnh Phú Yên","Phú Yên","Sơn Hòa","Sơn Hà","0.015513"
"Xã thanh Vĩnh Đông, HuyệnChâu Thành, TLong An","Long An","Châu Thành","Thanh Vĩnh Đông","0.016503"
"107 Lê Sao Phú Thạnh, Tân Phú, TP. Hồ Chí Minh.","Hồ Chí Minh","Tân Phú","Phú Thạnh","0.019012"
"T18,Cẩm Bình, Cẩm Phả, Quảng Ninh.","Quảng Ninh","Cẩm Phả","Cẩm Bình","0.016005"
"Xóm 2, Hưng Mỹ, Hưng Nguyên, Nghệ An","Nghệ An","Hưng Nguyên","Hưng Mỹ","0.019359"
"489/24A/18 Huỳnh Văn Bánh Phường 13, Phú Nhuận, TP. Hồ Chí Minh","Hồ Chí Minh","Phú Nhuận","13","0.018981"
"Thị Trấn Nông Trường Việt lâm,Vị Xuyen,Ha Giang","Hà Giang","Vị Xuyên","Việt Lâm","0.018999"
"285 B/1A Bình Gĩa Phường 8,Vũng Tàu,Bà Rịa - Vũng Tàu","Bà Rịa - Vũng Tàu","Vũng Tàu","8","0.018"
"X.Thài Phìn Tủng, Huyện ĐồGg Van,  Hà Gxiang","Hà Giang","Đồng Văn","Thài Phìn Tủng","0.016509"
"7/3/4/16 Thành Thái Phường 14, Quận 10, TP. Hồ Chí Minh","Hồ Chí Minh","10","14","0.015004"
"Hà Tân Hưng Hà, Tân Hưng, Long An","Long An","Tân Hưng","Hưng Hà","0.018"
"X.Điện Hồng,Thị xã Điện Bàn,t Quảng Nam","Quảng Nam","Điện Bàn","Điện Hồng","0.016"
"Thái Hòa Huyện Thái Thụy, Thái Bình","Thái Bình","Thái Thụy","Thái Thọ","0.017049"
"Khu phố Nam Tân, TT Thuận Nam, Hàm Thuận Bắc, Bình Thuận.","Bình Thuận","Hàm Thuận Bắc","","0.033839"
"Bộ Đầu Thống Nhất, Thường Tín, Hà Nội","Hà Nội","Thường Tín","Thống Nhất","0.019501"
"Bù Gia Map,H Bù Gia Mập,Bình Phước","Bình Phước","Bù Gia Mập","Bù Gia Mập","0.015006"
"Khu phố 3, Trảng Dài, Thành phố Biên Hòa, Đồng Nai.","Đồng Nai","Biên Hòa","Trảng Dài","0.016"
"Số 1410 Đường 30/4, Phường 12, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu.","Bà Rịa - Vũng Tàu","Vũng Tàu","12","0.016994"
" Chương Dương, HuyệnĐôngHưng, ","","Đông Hưng","Chương Dương","0.022991"
"Xã Tân Minh, Huyện Sóc Sơn, Thành phố Hà Nội","Hà Nội","Sóc Sơn","Tân Minh","0.017999"
"4248 CT12C ĐTM K/Văn-K/Lũ Đại Kim, Hoàng Mai, Hà Nội","Hà Nội","Hoàng Mai","Đại Kim","0.019002"
"Xã Tân Bình Huyện Như Xuân, Thanh Hoá","Thanh Hóa","Như Xuân","Tân Bình","0.018001"
"KP Phước Trung Thị trấn Đất Đỏ, Đất Đỏ, Bà Rịa - Vũng Tàu","Bà Rịa - Vũng Tàu","Đất Đỏ","Đất Đỏ","0.018974"
"55/30 Nguyễn - Thượng Hiền,P5,BT, TP. Hồ Chí Minh","Hồ Chí Minh","Bình Thạnh","05","0.019078"
"Xã Tiến Nông,H Trệu Sơn,T. Thanh Hóa","Thanh Hóa","Triệu Sơn","Tiến Nông","0.016"
"X Vĩnh Lợi, Huyện Châu Thành, Tỉnhan Giang","An Giang","Châu Thành","Vĩnh Lợi","0.015997"
", HuyệnBình Sơn, TQuảng Ngãi","Quảng Ngãi","Bình Sơn","","0.016"
"290 Tùng Thiện- Vương,P.13, Quận 8, TP. Hồ Chí Minh.","Hồ Chí Minh","8","13","0.01794"
"Tổ 5A2, KP5 TT. Trảng Bom, Trảng Bom, Đồng Nai","Đồng Nai","Trảng Bom","Trảng Bom","0.018126"
"Phố Đức Sơn, TT Bút Sơn, Hoằng Hoá, Thanh Hoá.","Thanh Hóa","Hoằng Hóa","Bút Sơn","0.016043"
"F.LoWng Binh, TpThủ Đưc, TPHCM","Hồ Chí Minh","Thủ Đức","Long Bình","0.017"
"Thôn 1 Quảng Bị, Chương Mỹ, Hà Nội","Hà Nội","Chương Mỹ","Quảng Bị","0.017996"
"Thôn Thành Bắc, Xã Quảng Thành, TP Thanh Hoá, Thanh Hoá","Thanh Hóa","Thanh Hóa","Quảng Thành","0.016505"
"X Châu Thuận7  TNghệ An","Nghệ An","","Châu Thành","0.021"
"Đông thanh AnE Minh T kien Giang","Kiên Giang","An Minh","Đông Thạnh","0.014995"
"Cổ Lũy Hải Ba, Hải Lăng, Quảng Trị","Quảng Trị","Hải Lăng","Hải Ba","0.017"
" Khả cửu, H. Thanh Srn, ","","Thanh Trì","","0.023996"
"2 dãy C ngõ 16 Ngô Quyền, tổ 14, Quang Trung, Hà Đông, Hà Nội","Hà Nội","Hà Đông","Quang Trung","0.024013"
"x. Nam Thai A, AZBiên,Tỉnh Kiên Giang","Kiên Giang","An Biên","Nam Thái A","0.015729"
"F Tân bình  dĩ An ","","Dĩ An","Tân Bình","0.02265"
"Khóm 1,Thị Trấn Tam Bình, Vĩnh Long","Vĩnh Long","Tam Bình","","0.017997"
"Tinh Nhu Huyện Thanh Sơn Tỉnh Phú Tho","Phú Thọ","Thanh Sơn","Tinh Nhuệ","0.016"
"Tề Lễ Tam Nông, Phú Thọ","Phú Thọ","Tam Nông","Tề Lễ","0.015946"
"P.Văn Đẩu, qKiến An, ThànhMphố Hải Phòng","Hải Phòng","Kiến An","Văn Đẩu","0.017999"
"3/107 Ngõ Quỳnh Thanh Nhàn, Hai Bà Trưng, Hà Nội","Hà Nội","Hai Bà Trưng","Thanh Nhàn","0.022804"
"Cụm 5, Ngọc Tảo, Phúc Thọ Hà Nội","Hà Nội","Phúc Thọ","Ngọc Tảo","0.019329"
"Hoằng Minh, Hoằng Hóa Thanh Hóa","Thanh Hóa","Hoằng Hóa","Hoằng Trinh","0.023506"
"tổ 17 Cụm 3 Phú Thượng, Tây Hồ, Hà Nội","Hà Nội","Tây Hồ","Phú Thượng","0.017729"
"XTân Thạnh, hAn Minh ","","An Minh","Tân Thạnh","0.034865"
"X.Tân Son,hchợ QMới,","","","","0.024"
" Cẩm Lương HCẩm Thủa T. Thanh Hóa","Thanh Hóa","Cẩm Thủy","Cẩm Lương","0.017001"
"Tổ 11 Sài Đồng, Long Biên, Hà Nội","Hà Nội","Long Biên","Sài Đồng","0.018565"
"Long Bình 1, An Hải, Ninh Phước, Ninh Thuận","Ninh Thuận","Ninh Phước","An Hải","0.018762"
"X. Trà Sơn,Huyện Trà Bồng,T.Quảng mNgãi","Quảng Ngãi","Trà Bồng","Trà Sơn","0.016003"
"X Phong Quang, HKuyệnVị Xuyên, Tỉnh Hà Giang","Hà Giang","Vị Xuyên","Phong Quang","0.015972"
"Mê linh Lâm hà,Lâm đồng","Lâm Đồng","Lâm Hà","Mê Linh","0.017024"
" TP Biên Hòa TỉnhĐyng Nai","Đồng Nai","Biên Hòa","","0.016072"
"X. Đông Lâm2, Huyen Tiền Hải, T.Thái Bình","Thái Bình","Tiền Hải","Đông Lâm","0.016012"
" H.Văn Giang Tỉnh Hưng Yê0","Hưng Yên","Văn Giang","","0.016005"
"X. Trà DVưong Bắc Trà My TQuảg Nam","Quảng Nam","Bắc Trà My","","0.015687"
"X.Thiết Kế,H.Bá Thước,","","Bá Thước","Thiết Kế","0.025006"
" Lưu Sơn, H. Đô Lương, Nghệ An","Nghệ An","Đô Lương","Lưu Sơn","0.016"
", Đông Hòa,Tỉnh Phú yn","Phú Yên","Đông Hòa","","0.016"
"XPhước Vĩnh Đông  Cần Giuộc T. Long An","Long An","Cần Giuộc","Phước Vĩnh Đông","0.015003"
"Phưng Khâm Thiên Quận Đ.Đa T.Phố HàNội","Hà Nội","Đống Đa","Khâm Thiên","0.015911"
"X.Tăng Thanh, H Yên Thành, ","","Yên Thành","Tăng Thành","0.024001"
", Huyện Maỹ Lộc, TỉnhD Nam Định","Nam Định","Mỹ Lộc","","0.016006"
"QX.Tân Hưng Tây, Ph8 Tân,","","Hàm Tân","Tân Hà","0.023"
", Huyện Cẩm Thủy, T.Thanh Hóca","Thanh Hóa","Cẩm Thủy","","0.017001"
"XãPhú Hưng  TBến tre","Bến Tre","","Phú Hưng","0.015091"
"XBình PhúN  Càng Long, T.u trà Vinh","Trà Vinh","Càng Long","Bình Phú","0.017002"
"  Chí Linh  Hải Dương","Hải Dương","Chí Linh","","0.016"
"Phưong Thọ Son,T.Phố Việt Trì, Phú Thọ","Phú Thọ","Việt Trì","Thọ Sơn","0.015999"
"XHòa Bqc, HDi Linh, ","","Di Linh","Hòa Bắc","0.024"
"XãtrBung Thanh,,TThanh Hóa","Thanh Hóa","","Đông Thanh","0.02"
"X Tvực Đạo, , Nam Định","Nam Định","Vụ Bản","","0.016"
",HyệnĐại Lộc,TỉnhQuảng Nam","Quảng Nam","Đại Lộc","","0.016"
" HBảo Lâm 8 Cao Bằng","Cao Bằng","","","0.014999"
"Xã Krông Búk Huyện Krông Păc, Đắk Lắk","Đắk Lắk","Krông Pắc","KRông Búk","0.017007"
" Tp Hà Tiên Tỉnh Kiên Giang","Kiên Giang","Hà Tiên","","0.015"
"Thị trấn Hai Riêng H Sông Hinh ","","Sông Hinh","Hai Riêng","0.023"
"Ấp Bùng Binh, Hưng Thuận, Trảng Bàng, Tây Ninh","Tây Ninh","Trảng Bàng","Hưng Thuận","0.01699"
"X.Chê La,,T.Hà GianZ","Hà Giang","","Chế Là","0.015"
"Nà Làng Phú Bình, Chiêm Hoá, Tuyên Quang","Tuyên Quang","Chiêm Hóa","Phú Bình","0.014999"
"Hôno Sỹ  Tỉnh Cao Bằng","Cao Bằng","Hoà An","","0.015"
"X. Hành Tín Tây  T.Quảng Ngãi","Quảng Ngãi","Nghĩa Hành","","0.019003"
" bản HoJn huyện Tam Đường Tỉnh Lai Châu","Lai Châu","Tam Đường","","0.016001"
"TTĐức An Huyện Đắk SongTỉnhĐắk Nông","Đắk Nông","Đắk Song","Đức An","0.016004"
", HXuân Lộc,  Đồng Nai","Đồng Nai","Xuân Lộc","","0.015"
"Tổ Dân Phố 3 Thị trấn Chư Prông, Chư Prông, Gia Lai","Gia Lai","Chư Prông","Chư Prông","0.014996"
" Hòa Lợi,, Trà vinh","Trà Vinh","","Hòa Lợi","0.018509"
"Xã Trịnh Tường H Bát Xát ","","Bát Xát","Trịnh Tường","0.026002"
"Xthịnh Vượng,A , TG.Cao băng","Cao Bằng","Quảng Hòa","","0.016"
"XãChiềng Mu5ng  T.stn la","Sơn La","","Chiềng Mung","0.017"
"X. Hà Hồi H. Thường Tin TPHàNội","Hà Nội","Thường Tín","Hà Hồi","0.018006"
" H. Đăk Đoa TỉnhGia Lai","Gia Lai","Đăk Đoa","","0.019998"
"Thị trấnSông Đốc, , TnhCà Mau","Cà Mau","","Sông Đốc","0.015"
"Fmễ Trì, Nam Từ Liêm, Thành phố HN","Hà Nội","Nam Từ Liêm","Mễ Trì","0.017996"
" Long Thắng, Huyn Lai ung, ","","Lai Vung","Long Thắng","0.0261"
"  Chư Se T Gia Lai","Gia Lai","Chư Sê","","0.016003"
" Chi Lăng,H Chi Lăng,Tỉnh Lạng5 Sơn","Lạng Sơn","Chi Lăng","Chi Lăng","0.015902"
" Bằng Lng,,T.Bắc Kạn","Bắc Kạn","","Bằng Lãng","0.017997"
"X. Tân An, HuyệnThnh Hà, ","","Thanh Hà","Tân An","0.026978"
",HPhú Bình, thái Nguyên","Thái Nguyên","Phú Bình","","0.019011"
"X Phu Mãn   HN","Hà Nội","","Phú Mãn","0.018992"
" Hướng Hiệp  Đa Krông T Quảng TrZ","Quảng Trị","Đa Krông","Hướng Hiệp","0.018005"
"X Quỳnh Nuyên,,T. Thái Bình","Thái Bình","","Quỳnh Nguyên","0.016"
"P Ea Tam T.P Buôn Ma Thuột TỉnĐắk Llk","Đắk Lắk","Buôn Ma Thuột","Ea Tam","0.016993"
"X.Vĩnh thắng Gò quao T Kiên Giang","Kiên Giang","Gò Quao","Vĩnh Thắng","0.016013"
"Tân An, H. Vĩnh Cửu, T Đồng Nai","Đồng Nai","Vĩnh Cửu","Tân An","0.017976"
"F Tân Dân, T.Xã.Nghi Sơn, TỉnhThanh Hóa","Thanh Hóa","Nghi Sơn","Tân Dân","0.018998"
"Xã Vị Tân  Vị Than ","Lai Châu","","Pa Tần","0.0189"
"X My Thành Bac, HuyệnCai Lậy, ","","Cai Lậy","","0.027001"
"X.Tân Tiến,H.Đồng Phú,","","Đồng Phú","Tân Tiến","0.027117"
", HuyệnChâu Thành, TỉnhTiền Giang","Tiền Giang","Châu Thành","","0.016002"
"Đá Hàng Hiệp Thạnh, Gò Dầu, Tây Ninh","Tây Ninh","Gò Dầu","Hiệp Thạnh","0.016005"
"X. Lộc Thah,T0P Bảo lộc,TLâm Đông","Lâm Đồng","Bảo Lộc","Lộc Phát","0.016007"
"Nậm Tin  Diện Biên","Điện Biên","","Na Cô Sa","0.01501"
", Tân Phươc, Tin GJiang","Tiền Giang","Tân Phước","","0.015625"
"Sơn Thủy T Quảng Bình","Quảng Bình","Lệ Thủy","","0.016"
"Trung Môn Yên Sơn - Tuyên Quang","Tuyên Quang","Yên Sơn","Trung Môn","0.017062"
"X Bình Hi, , T.Quảcg Nam","Quảng Nam","","Bình Hải","0.019298"
"XãNân Chính, H Ly Nhân, Tỉnh HaNam","Hà Nam","Lý Nhân","Nhân Chính","0.016517"
"X.UThạnh Lợi  TỉnhLong An","Long An","Thạnh Hóa","","0.018089"
"X. Sin Suối Hồ HPhong Thổ t Lai Châu","Lai Châu","Phong Thổ","Sin Suối Hồ","0.016"
" HuyệnĐắk Tô T. KonTum","Kon Tum","Đắk Tô","","0.017001"
"Xã Đông cường, h.Đông Hưng, ","","Đông Hưng","Đông Cường","0.023"
"XTrung Nghĩa, , THưng Yên","Hưng Yên","","Trung Nghĩa","0.016"
" Bình Hiệp,H.Bình Sơn,TỉnhQuảng Ngãi","Quảng Ngãi","Bình Sơn","Bình Hiệp","0.016505"
"Bạch Lưu, H.Song Lô, Vĩnh PGhúc","Vĩnh Phúc","Sông Lô","Bạch Lưu","0.015"
"Xã Minh thuận HuyệnU Minh Thượng TỉnhKiên Giang","Kiên Giang","U Minh Thượng","Minh Thuận","0.015"
"X.Đề Thám  T.Lạng Sơn","Lạng Sơn","","Đề Thám","0.018001"
"Đồng Trạch, Bố Trạch Quảng Bình","Quảng Bình","Bố Trạch","Đồng Trạch","0.023583"
"oã Bnh Ngọc,T.Phố Tuy Hoà,Tỉnhphú Yên","Phú Yên","Tuy Hoà","Bình Ngọc","0.015008"
"X. Hải Minh,,N5am Định","Nam Định","Nam Định","Mỹ Xá","0.016504"
"Phường 04,,Thành phốHồ Chi Minh","Hồ Chí Minh","","04","0.016002"
"Xa Sơn Thy H. Le Thủy Tỉnh Quảng Bình","Quảng Bình","Lệ Thủy","Sơn Thủy","0.015125"
"P. Quảng Thọ,T.P Sầm Swn,TY. thanh Hóa","Thanh Hóa","Sầm Sơn","Quảng Thọ","0.014912"
", H Duy Xuyên, T.Quảng Nam","Quảng Nam","Duy Xuyên","","0.015"
"X Tân7 Thịnh  Yiên Bái T. yên Bái","Yên Bái","Yên Bái","Tân Thịnh","0.015001"
"X Vân Du, , Phú Thọ","Phú Thọ","","Vân Du","0.01592"
"X.An Thuận, , TBến Tre","Bến Tre","","An Thuận","0.015691"
"Nghi Sơ6n, T.X. Nghi Sơn, Thhanh Hóa","Thanh Hóa","Nghi Sơn","Nghi Sơn","0.015994"
", Mường La,  sơn La","Sơn La","Mường La","","0.014992"
" BảIn Sen H Mường Khương T5Lào Cai","Lào Cai","","Thượng Hà","0.017048"
", ThăngFBìh,T. Quảng Nam","Quảng Nam","Thăng Bình","","0.015926"
"TT Đạ Tẻh, , T. Lâm Đồng","Lâm Đồng","","Đạ Tẻh","0.017465"
"XDuy Hải  TQuảng Nam","Quảng Nam","","Duy Hải","0.015015"
"vĩnh Hưng, , Long An","Long An","Vĩnh Hưng","","0.016"
"TT Hội An,,TAn Giang","An Giang","Thoại Sơn","Óc Eo","0.017"
"X.H Mỗ, Đan PhTượng,","","","","0.023505"
"Thị Trấn Kẻ Sặt H.Binh giang THải Dưong","Hải Dương","Bình Giang","Kẻ Sặt","0.016"
"TDP Hạ 10, Tây Tựu Bắc Từ Liêm, Hà Nội","Hà Nội","Nam Từ Liêm","","0.016052"
"Châu Thạnh Châu Phú A, Châu Đốc, An Giang","An Giang","Châu Đốc","Châu Phú A","0.02592"
"Xã 7Sơn Hà HuyệnNho Quan Tinh Ninh Bình","Ninh Bình","Nho Quan","Sơn Hà","0.015513"
"KP 1B, P.An Phú, TX.Thuận An, Bình Dương","Bình Dương","Thuận An","An Phú","0.015672"
"x. Văn Cẩs HuyệnHung Hà Tthái Bình","Thái Bình","Hưng Hà","Văn Cẩm","0.016166"
"Xã Lương Hòa,HuyệnBen Lức,","","Bến Lức","Lương Hòa","0.022507"
"xã Minh Lãng, huyện Vũ Thư, tỉnh Thái Bình","Thái Bình","Vũ Thư","Minh Lãng","0.01702"
"Quách Phẩm Bắc, , Cà Mzu","Cà Mau","Năm Căn","","0.016"
"Phường Ngoc Thụy  Thành phốHà Nội","Hà Nội","","Ngọc Thụy","0.017999"
"XTân Nghia  Di Linh Lâm ĐồnG","Lâm Đồng","Di Linh","Tân Nghĩa","0.015513"
"X Đương Hoa  TQuảng Ninh","Quảng Ninh","","Đường Hoa","0.016512"
"XMiền Đồi,LaZc Sơn,","","Sóc Sơn","Tiên Dược","0.026009"
" H. Hồng Ngự T Đồng Thap","Đồng Tháp","Hồng Ngự","","0.017008"
"P4 T.Ph9ốĐông Hà ","Đồng Nai","","","0.017024"
"X Mường Lèo H Sốp Cộp T Sơn ma","Sơn La","Sốp Cộp","Mường Lèo","0.016517"
"PhườngHà Mãn, T.X.Thuận Thành, ","","Thuận Thành","Hà Mãn","0.023088"
"Xã Tam Xuân I Huyệnúi Thành Quảng Nam","Quảng Nam","Núi Thành","Tam Xuân I","0.017"
"Diên Thạnh,,T Khabnh Hòa","Khánh Hòa","Diên Khánh","","0.015"
" Quận 1 T.P H.C.Minh","Hồ Chí Minh","1","","0.015992"
"J,Huyệnđô Lương,Tỉnh Nghệ An","Nghệ An","Đô Lương","","0.016001"
"Hải Ba  Hải Lăng ","Hà Giang","Quản Bạ","","0.015954"
"X. Bok Tới H Hoài Ân  Bìh Định","Bình Định","Hoài Ân","Bok Tới","0.016006"
"Bình Sa HuyệnThăng Bình ","","Thăng Bình","Bình Sa","0.022999"
",H Bắc Son,TỉnhLạng Son","Lạng Sơn","Bắc Sơn","","0.016"
",H.Trảng Bom,Đồng Nai","Đồng Nai","Trảng Bom","","0.016"
"X Vĩnh Hanh, Châu Thành,An Giang","An Giang","Châu Thành","Vĩnh Hanh","0.015"
"Lộc Châu,TPBảo Lộc,T Lâm Đồng","Lâm Đồng","Bảo Lộc","Lộc Châu","0.015508"
"P. Nhi Thu Thị xã Cửa Lò TNghệ An","Nghệ An","Cửa Lò","Nghi Thu","0.017007"
" Ea Huar,HuyệnBuôn Đôn,","","Buôn Đôn","Ea Huar","0.024"
"X Tân Thanh Huyện Lang Giang ","","Lạng Giang","Tân Thanh","0.023006"
" Huyệntân biên T.TDy Ninh","Quảng Ninh","Tiên Yên","","0.018008"
"Xã Bản My H..Hoàng Su Phì T.Hà Giang","Hà Giang","Hoàng Su Phì","Bản Máy","0.016"
"Đai TanHuyện Đại ộc,TỉnhQuảng Nam","Quảng Nam","Đại Lộc","Đại Tân","0.015506"
"X.Mỹ Thạnh, HuyệnGiong Trôm, TỉnhBến Tre","Bến Tre","Giồng Trôm","Mỹ Thạnh","0.014999"
"XãChơ Chun, H NamiGiang, T.Quảng Nam","Quảng Nam","Nam Giang","Chơ Chun","0.015"
"  Quỳ Châu T.NSghệ An","Nghệ An","Quỳ Châu","","0.016512"
"XLa Sơn H. Binh lục ","","Bình Lục","La Sơn","0.023999"
"X.Vô Tranh, hLục Nam, Bắc Giang","Bắc Giang","Lục Nam","Vô Tranh","0.016001"
" H.Thanh Liêm T.Ha Nam","Hà Nam","Thanh Liêm","","0.016"
" eăn Tiến, Yên Lạc, vĩnh P0húc","Vĩnh Phúc","Yên Lạc","Văn Tiến","0.016006"
"X.Cẩm Hoàng,,T. Hải Dươnwg","Hải Dương","Cẩm Giàng","","0.015"
"X. Cat Chánh,HuyệnPhù Cát,","","Phù Cát","Cát Chánh","0.023"
"X.Việt Hồng, , TrHà Giang","Hà Giang","","Việt Hồng","0.017"
"Mỹ Hưng Hòa,Mỹ Xương,Cao Lãnh, Đồng Tháp.","Đồng Tháp","Cao Lãnh","Mỹ Xương","0.015993"
"X.Đức Sơn Anh Sơn ","Lạng Sơn","Bắc Sơn","Vũ Lễ","0.015007"
"X Đoàn đào,4 Phù Cừ,T.Hưng Yên","Hưng Yên","Phù Cừ","Đoàn Đào","0.016002"
"Tích Sơn T.Phốvinh Yên t vĩnh phúc","Vĩnh Phúc","Vĩnh Yên","Đồng Tâm","0.015514"
"Đứ Lợi,H Mộ Đức,TỉnhQuản Ngãi","Quảng Ngãi","Mộ Đức","Đức Lợi","0.016"
"x.Ba tiêu,  Ba Tơ, Quảng Ngãi","Quảng Ngãi","Ba Tơ","Ba Tiêu","0.016008"
"PhườngNguyễn Trãi, T.P Kon Tum, T Kon Tum","Kon Tum","Kon Tum","Nguyễn Trãi","0.015"
" An Lowng Phú Giáo TBinh Dương","Bình Dương","Phú Giáo","An Long","0.015"
"X Song Lộc H.Châu Thành ","","Châu Thành","","0.023002"
"F. An Phú T.X. Tịnh Biên T.An Giang","An Giang","Tịnh Biên","An Phú","0.015294"
"X Tây Yên, H.An Biên, TKiên Giang","Kiên Giang","An Biên","Tây Yên","0.01401"
"Xã Kiên Thành H Trấn Yên T.yên Bi","Yên Bái","Trấn Yên","Kiên Thành","0.015095"
" Duy Phú,  Duy Xuyen,  Quang Nam","Quảng Nam","Duy Xuyên","Duy Phú","0.014597"
"Thôn 6, Nam Chính, Đức Linh, Bình Thuận.","Bình Thuận","Đức Linh","Nam Chính","0.015996"
",H.Tuy An,Tinh Phú yên","Phú Yên","Tuy An","","0.015093"
"XTrung Kiên,,Tỉnh Vĩnh Phuúc","Vĩnh Phúc","","Trung Kiên","0.015086"
", Q11, Hồ Chí Minh","Hồ Chí Minh","11","","0.018264"
" H. Ea Súp  Đắk Lắk","Đắk Lắk","Ea Súp","","0.016972"
